entity1,relation,entity2,merged_sentence,label
The Spring Framework,comprises,several modules,the spring framework comprises several modules,T
several modules,provide,services,several modules provide services,F
Extended support,have ended on,July,extended support have ended on july,F
SQL Server,was released on,August,sql server was released on august,F
SQL Server,aims to make,tuning,sql server aims to make tuning,T
SQL Server,aims to make,self organizing,sql server aims to make self organizing,T
SQL Server,includes,support,sql server includes support,F
such multimedia data,can be stored as,current versions,such multimedia data can be stored as current versions,F
such multimedia data,can be stored as,BLOBs,such multimedia data can be stored as blobs,F
Intrinsic awareness,will allow,specialized functions,intrinsic awareness will allow specialized functions,F
Other new data types,include,time types,other new data types include time types,F
Other new data types,include,a Spatial data type,other new data types include a spatial data type,F
Better support,is provided using,the new FILESTREAM data type,better support is provided using the new filestream data type,F
data,is stored in,the SQL Server database,data is stored in the sql server database,F
metadata,is stored in,the SQL Server database,metadata is stored in the sql server database,F
the unstructured component,is stored in,the file system,the unstructured component is stored in the file system,F
Such files,can be accessed both via,Win32 file handling APIs,such files can be accessed both via win32 file handling apis,F
text search functionality,has been integrated with,the database engine,text search functionality has been integrated with the database engine,T
data type,represents,geospatial data,data type represents geospatial data,T
GEOGRAPHY,uses,an ellipsoidal model,geography uses an ellipsoidal model,T
the Earth,is defined as,a single continuous entity,the earth is defined as a single continuous entity,T
the Earth,is defined as,an ellipsoidal model,the earth is defined as an ellipsoidal model,T
70 methods,are available to represent,spatial operations,70 methods are available to represent spatial operations,F
SQL Server,includes,compression features,sql server includes compression features,T
compression features,helps in improving,improving scalability,compression features helps in improving improving scalability,T
SQL Server,enhanced,the indexing algorithms,sql server enhanced the indexing algorithms,T
SQL Server,introduced,the notion,sql server introduced the notion,F
SQL Server,includes,Resource Governor,sql server includes resource governor,T
Resource Governor,allows reserving,reserving resources,resource governor allows reserving reserving resources,T
Resource Governor,allows reserving,workflows,resource governor allows reserving workflows,T
Resource Governor,allows reserving,certain users,resource governor allows reserving certain users,T
SQL Server,includes,capabilities,sql server includes capabilities,T
SQL Server,supports,data definition,sql server supports data definition,T
SQL Server,supports,the ADO.NET Entity Framework,sql server supports the ado.net entity framework,T
SQL Server,supports,the reporting tools,sql server supports the reporting tools,T
SQL Server,supports,replication,sql server supports replication,T
SQL Server Reporting Services,will gain charting,charting capabilities,sql server reporting services will gain charting charting capabilities,T
Dundas Data Visualization,was acquired by,Microsoft,dundas data visualization was acquired by microsoft,T
SQL Server Reporting Services,includes,the Declarative Management Framework,sql server reporting services includes the declarative management framework,T
the Declarative Management Framework,allows configuring,configuring policies,the declarative management framework allows configuring configuring policies,T
the Declarative Management Framework,allows configuring,constraints,the declarative management framework allows configuring constraints,T
SQL Server Reporting Services,includes,the management side,sql server reporting services includes the management side,T
the Declarative Management Framework,allows configuring,the entire database,the declarative management framework allows configuring the entire database,T
the Declarative Management Framework,allows configuring,certain tables,the declarative management framework allows configuring certain tables,T
